# 智能音箱 维护保养200条（纯保养维度，分通用基础/音质专属/带屏专属/便携专属/配件专项/环境适配/长期存放/故障预防，覆盖全机型日常维护）
## 通用基础维护（50条）
1. 每日使用后，用干软布擦拭音箱机身外壳，去除灰尘、指纹，避免污渍附着。
2. 每周清理麦克风孔，用软毛刷或蓝丁胶粘除灰尘，防止堵塞影响唤醒率。
3. 每日检查电源线接口，确保无松动、弯折，避免接触不良。
4. 日常使用时，避免音箱碰撞尖锐硬物，防止外壳凹陷、网罩变形。
5. 每周清洁充电触点（若有），用干布擦拭金属触点，避免氧化。
6. 音箱工作时，避免液体洒溅，若不慎进水立即断电干燥。
7. 每周检查机身底部防滑垫，无脱落、老化，保证摆放稳固。
8. 清洁音箱时，全程断电，切勿用水直接冲洗。
9. 每日检查按键回弹，无卡滞，若有异物用软刷清理缝隙。
10. 每次使用后，保持待机状态即可，无需频繁断电。
11. 每周检查散热孔，无灰尘堵塞，保证通风良好。
12. 每周检查网罩，无积灰，若有使用吸尘器低档位清理。
13. 每月用软布蘸取少量中性清洁剂，擦拭顽固污渍，再用干布擦干。
14. 每月检查螺丝，若有松动及时拧紧。
15. 避免音箱在高温（＞40℃）、低温（＜-5℃）环境下长时间工作。
16. 避免接触腐蚀性液体，防止外壳、网罩损坏。
17. 音箱工作时，若沾染油污，用中性洗涤剂稀释后轻擦。
18. 每日检查摆放位置，确保前方无遮挡物，保证声场开阔。
19. 每周清理电源插头，用干布擦拭，防止积灰导致发热。
20. 避免阳光直射，防止外壳褪色、屏幕老化。
21. 每月检查线缆，无破损、老化，防止短路。
22. 移动音箱时轻拿轻放，避免摔落。
23. 每周检查APP连接状态，确保及时接收固件更新提醒。
24. 避免在音箱上堆放杂物，防止堵塞扬声器、散热孔。
25. 每月对音箱进行一次“功能自检”，测试唤醒、播放、控制等功能。
26. 若长期不使用，每月通电一次，保持内部元件干燥。
27. 避免使用非原装电源适配器，防止电压不稳损坏主板。
28. 每周检查无线网络信号强度，确保在线稳定。
29. 音箱若支持AUX接口，定期用酒精棉签擦拭接口，防止氧化。
30. 避免在潮湿环境（如浴室）使用非防水机型。
31. 每月清理音箱底部，防止灰尘堆积影响散热。
32. 若音箱支持壁挂，检查支架螺丝是否松动。
33. 避免将音箱放在地毯或软质表面上，防止遮挡底部散热/低音反射孔。
34. 每周检查语音助手的唤醒反馈灯，确保正常工作。
35. 使用语音指令时，避免距离过远（建议3-5米内）。
36. 每月重启一次音箱，清理系统缓存。
37. 避免在多粉尘环境（如装修）使用，不用时用防尘布盖住。
38. 若音箱支持蓝牙，定期清除无用配对记录。
39. 避免将音箱放在封闭柜中使用，防止热量积聚。
40. 每周检查音效设置，确保未被误改。
41. 若发现音质异常，优先检查网罩是否积灰。
42. 避免频繁插拔电源线，防止接口松动。
43. 每月检查电池（便携款）健康度，记录续航变化。
44. 若音箱有RGB灯效，避免长时间高亮度显示，防止LED老化。
45. 每周清洁屏幕（带屏款），防止指纹影响观感。
