用户ID,特征,音质表现,连接稳定性,对比,时间
1001,65㎡公寓 | 单身 | 木地板,语音识别:95%\n日均播放:3小时\n音乐偏好:古典乐,WiFi连接:稳定\n蓝牙配对:2台设备,音质评价优于85%同面积用户,2025-01
1002,70㎡公寓 | 情侣 | 瓷砖,语音识别:92%\n连接中断:1次/周\n音乐偏好:流行音乐,WiFi偶尔掉线\n蓝牙设备:3台,语音识别准确率低于同类20%,2025-01
1003,90㎡ | 1狗 | 短毛地毯,环境音识别:88%\n播放时长:4小时/天\n音乐偏好:轻音乐,WiFi稳定\n蓝牙连接:1台设备,大空间音质表现前20%,2025-01
1004,85㎡ | 2猫 | 混合地面,宠物语音识别:75%\n播放时长:2.5小时/天\n音乐偏好:摇滚乐,WiFi连接:良好\n设备切换:频繁,建议升级麦克风阵列,2025-01
1005,120㎡ | 老人 | 防滑砖,语音指令识别:60%\n使用频率:低\n音乐偏好:戏曲,WiFi连接:不稳定\n蓝牙未使用,急需语音优化功能,2025-01
1006,150㎡别墅 | 儿童 | 多层,跨房间识别:70%\n儿童语音识别:85%\n音乐偏好:儿歌,WiFi覆盖:不全\n蓝牙设备:5台,建议增加mesh网络,2025-01
1007,55㎡一居 | 独居 | 复合地板,语音识别:96%\n播放时长:5小时/天\n音乐偏好:电子音乐,WiFi连接:优秀\n蓝牙设备:1台,小空间音质表现前10%,2025-01
1008,100㎡三居 | 三口之家 | 大理石,多人语音识别:82%\n播放时长:3.5小时/天\n音乐偏好:爵士乐,WiFi连接:良好\n蓝牙切换:2台设备,大户型连接稳定性中等,2025-01
1009,80㎡两居 | 养宠 | 仿实木,宠物干扰处理:78%\n播放时长:4小时/天\n音乐偏好:自然音效,WiFi连接:稳定\n蓝牙设备:2台,宠物家庭语音识别中等,2025-01
1010,130㎡四居 | 三代同堂 | 通体砖,语音识别准确率:82%\n手动辅助操作:3次/天\n定时播放使用率:60%,WiFi信号衰减:15%\n蓝牙模块寿命:剩余45天,大户型中操作便捷性低于同类20%,2025-01
1001,65㎡公寓 | 单身 | 木地板,语音识别准确率:86%\n日均播放:4.6小时\n漏识别区域:沙发底部（高度不足）,麦克风寿命:剩余55天\n音箱防尘滤网:剩余35%,优于68%同面积用户（播放频率更高）,2025-02
1002,70㎡公寓 | 情侣 | 瓷砖,语音识别准确率:87%\n识别失败:3次/周（噪音干扰）,蓝牙连接波动:中度+\n音箱灰尘清理:每2天,蓝牙功能使用率低于同类32%,2025-02
1003,90㎡ | 1狗 | 短毛地毯,宠物语音识别:91%\n音量调节使用:14次/月,扬声器振膜更换:剩余20天\n防尘滤网容量:每日清理,宠物语音识别效率前18%,2025-02
1004,85㎡ | 2猫 | 混合地面,宠物干扰处理:9次/月\n自动连接成功率:87%,麦克风干扰:严重+\n防尘滤网更换:紧急,建议升级麦克风增益至25dB+定期清理主刷,2025-02
1005,120㎡ | 老人 | 防滑砖,手动操作占比:94%\n定时播放尝试使用:1次/周,WiFi信号衰减:26%\n蓝牙未激活,急需语音控制功能+简化操作界面,2025-02
1006,150㎡别墅 | 儿童 | 多层,跨房间识别失败:4次/周\n儿童语音识别率:74%,蓝牙模块更换:待更换\n语音指令处理量:1.2千条/月,建议增加扩展麦克风配件+提升跨房间识别优化,2025-02
1007,55㎡一居 | 独居 | 复合地板,语音识别准确率:91%\n日均播放:3.6小时\n远场识别无死角,滤网寿命:剩余75天\n音箱灰尘清理:每4天,识别效率优于72%小户型用户,2025-02
1008,100㎡三居 | 三口之家 | 大理石,语音识别准确率:87%\n客厅区域漏识别:1次/天\n识别成功率:91%,麦克风磨损:轻度+\n音量调节次数:每日2次,大空间音质效果低于同类13%,2025-02
1009,80㎡两居 | 养宠 | 仿实木,宠物语音识别:86%\n自动连接成功率:93%,蓝牙连接干扰:中度\n防尘滤网更换:剩余25天,养宠家庭中识别效率处于中上等水平,2025-02
1010,130㎡四居 | 三代同堂 | 通体砖,语音识别准确率:83%\n手动辅助操作:2次/天\n定时播放使用率:65%,WiFi信号衰减:16%\n蓝牙模块寿命:剩余40天,大户型中操作便捷性低于同类18%,2025-02
1001,65㎡公寓 | 单身 | 木地板,语音识别准确率:87%\n日均播放:4.7小时\n漏识别区域:沙发底部（高度不足）,麦克风寿命:剩余50天\n音箱防尘滤网:剩余30%,优于70%同面积用户（播放频率更高）,2025-03
1002,70㎡公寓 | 情侣 | 瓷砖,语音识别准确率:88%\n识别失败:2次/周（噪音+信号干扰）,蓝牙连接波动:重度-\n音箱灰尘清理:每2天,蓝牙功能使用率低于同类30%+建议整理线路,2025-03
1003,90㎡ | 1狗 | 短毛地毯,宠物语音识别:92%\n音量调节使用:16次/月,扬声器振膜更换:已更换\n防尘滤网容量:每日清理,宠物语音识别效率前15%,2025-03
1004,85㎡ | 2猫 | 混合地面,宠物干扰处理:7次/月\n自动连接成功率:88%,麦克风干扰:严重\n防尘滤网更换:已更换,升级增益后识别效率提升5%,2025-03
1005,120㎡ | 老人 | 防滑砖,手动操作占比:93%\n定时播放使用率:2次/周,WiFi信号衰减:27%\n蓝牙首次激活:使用1次,语音控制功能已预约安装,2025-03
1006,150㎡别墅 | 儿童 | 多层,跨房间识别失败:2次/周\n儿童语音识别率:78%,蓝牙模块更换:1次/季度\n语音指令处理量:1千条/月,扩展麦克风配件已加装+跨房间识别优化优化,2025-03
1007,55㎡一居 | 独居 | 复合地板,语音识别准确率:92%\n日均播放:3.7小时\n远场识别无死角,滤网寿命:剩余70天\n音箱灰尘清理:每4天,识别效率优于75%小户型用户,2025-03
1008,100㎡三居 | 三口之家 | 大理石,语音识别准确率:88%\n客厅区域漏识别:0次/天\n识别成功率:92%,麦克风磨损:中度-\n音量调节次数:每日1次,大空间音质效果与同类持平,2025-03
1009,80㎡两居 | 养宠 | 仿实木,宠物语音识别:88%\n自动连接成功率:94%,蓝牙连接干扰:轻度+\n防尘滤网更换:剩余20天,养宠家庭中识别效率处于上等水平,2025-03
1010,130㎡四居 | 三代同堂 | 通体砖,语音识别准确率:85%\n手动辅助操作:2次/天\n定时播放使用率:70%,WiFi信号衰减:17%\n蓝牙模块寿命:剩余35天,大户型中操作便捷性与同类持平,2025-03
1001,65㎡公寓 | 单身 | 木地板,语音识别准确率:88%\n日均播放:4.8小时\n漏识别区域:无（沙发底部垫高）,麦克风寿命:剩余45天\n音箱防尘滤网:剩余25%,优于75%同面积用户（识别无死角）,2025-04
1002,70㎡公寓 | 情侣 | 瓷砖,语音识别准确率:89%\n识别失败:1次/周（噪音干扰）,蓝牙连接波动:中度\n音箱灰尘清理:每3天,蓝牙功能使用率提升至同类平均水平,2025-04
1003,90㎡ | 1狗 | 短毛地毯,宠物语音识别:93%\n音量调节使用:17次/月,扬声器振膜更换:剩余45天\n防尘滤网容量:每2天清理,宠物语音识别效率前10%,2025-04
1004,85㎡ | 2猫 | 混合地面,宠物干扰处理:6次/月\n自动连接成功率:90%,麦克风干扰:中度+\n滤网寿命:剩余60天,识别效率优于同类养宠家庭20%,2025-04
1005,120㎡ | 老人 | 防滑砖,手动操作占比:85%\n定时播放使用率:5次/周,WiFi信号衰减:28%\n蓝牙使用率:50%,语音控制功能已安装+操作熟练度提升,2025-04
1006,150㎡别墅 | 儿童 | 多层,跨房间识别失败:1次/周\n儿童语音识别率:85%,蓝牙模块寿命:剩余60天\n语音指令处理量:0.8千条/月,识别效率优于80%大户型多层用户,2025-04
1007,55㎡一居 | 独居 | 复合地板,语音识别准确率:93%\n日均播放:3.8小时\n远场识别无死角,滤网寿命:剩余65天\n音箱灰尘清理:每5天,识别效率优于80%小户型用户,2025-04
1008,100㎡三居 | 三口之家 | 大理石,语音识别准确率:90%\n识别成功率:95%,麦克风寿命:剩余70天\n音量调节次数:每日1次,大空间音质效果优于同类10%,2025-04
1009,80㎡两居 | 养宠 | 仿实木,宠物语音识别:90%\n自动连接成功率:95%,蓝牙连接干扰:轻度\n滤网寿命:剩余50天,养宠家庭中识别效率前20%,2025-04
1010,130㎡四居 | 三代同堂 | 通体砖,语音识别准确率:87%\n手动辅助操作:1次/天\n定时播放使用率:75%,WiFi信号衰减:18%\n蓝牙模块寿命:剩余30天,大户型中操作便捷性优于同类10%,2025-04
1001,65㎡公寓 | 单身 | 木地板,语音识别准确率:89%\n日均播放:4.9小时\n无漏识别区域,麦克风寿命:剩余40天\n音箱防尘滤网:剩余20%,优于80%同面积用户（识别效率拉满）,2025-05
1002,70㎡公寓 | 情侣 | 瓷砖,语音识别准确率:90%\n识别失败:0次/周,蓝牙模块寿命:剩余50天\n音箱灰尘清理:每4天,蓝牙功能使用率优于同类10%,2025-05
1003,90㎡ | 1狗 | 短毛地毯,宠物语音识别:94%\n音量调节使用:18次/月,胶刷寿命:剩余40天\n音箱灰尘清理:每2天,宠物语音识别效率前8%,2025-05
1004,85㎡ | 2猫 | 混合地面,宠物干扰处理:5次/月\n自动连接成功率:92%,麦克风干扰:轻度\n滤网寿命:剩余55天,识别效率优于同类养宠家庭25%,2025-05
1005,120㎡ | 老人 | 防滑砖,手动操作占比:75%\n定时播放使用率:7次/周,WiFi信号衰减:29%\n蓝牙使用率:70%,语音控制功能使用熟练度满分,2025-05
1006,150㎡别墅 | 儿童 | 多层,跨房间识别失败:0次/周\n儿童语音识别率:90%,蓝牙模块寿命:剩余55天\n语音指令处理量:0.7千条/月,识别效率优于90%大户型多层用户,2025-05
1007,55㎡一居 | 独居 | 复合地板,语音识别准确率:94%\n日均播放:3.9小时\n无漏识别区域,滤网寿命:剩余60天\n音箱灰尘清理:每5天,识别效率优于85%小户型用户,2025-05
1008,100㎡三居 | 三口之家 | 大理石,语音识别准确率:91%\n识别成功率:96%,麦克风寿命:剩余65天\n音量调节次数:每日1次,大空间音质效果优于同类15%,2025-05
1009,80㎡两居 | 养宠 | 仿实木,宠物语音识别:91%\n自动连接成功率:96%,蓝牙连接干扰:无\n滤网寿命:剩余45天,养宠家庭中识别效率前15%,2025-05
1010,130㎡四居 | 三代同堂 | 通体砖,语音识别准确率:88%\n手动辅助操作:1次/天\n定时播放使用率:80%,WiFi信号衰减:19%\n蓝牙模块寿命:剩余25天,大户型中操作便捷性优于同类15%,2025-05
1001,65㎡公寓 | 单身 | 木地板,语音识别准确率:85%\n日均播放:4.5小时\n漏识别区域:沙发底部（高度不足）,麦克风寿命:剩余60天\n音箱防尘滤网:剩余40%,优于65%同面积用户（播放频率更高）,2025-06
1002,70㎡公寓 | 情侣 | 瓷砖,语音识别准确率:88%\n识别失败:2次/周（噪音干扰）,蓝牙连接波动:中度\n音箱灰尘清理:每3天,蓝牙功能使用率低于同类30%,2025-06
1003,90㎡ | 1狗 | 短毛地毯,宠物语音识别:92%\n音量调节使用:15次/月,扬声器振膜更换:剩余25天\n防尘滤网容量:每日清理,宠物语音识别效率前15%,2025-06
1004,85㎡ | 2猫 | 混合地面,宠物干扰处理:8次/月\n自动连接成功率:89%,麦克风干扰:严重\n防尘滤网更换:急需,建议升级麦克风增益至25dB,2025-06
1005,120㎡ | 老人 | 防滑砖,手动操作占比:95%\n定时播放未使用,WiFi信号衰减:25%\n蓝牙未激活,急需语音控制功能,2025-06
